r,g,b,RGB,Spanish_Judgment_id,Spanish,Country,EN_ES,Russian_Judgment_id,Russian,Country,EN_RU,Portuguese_Judgment_id,Portuguese,Country,EN_PT,German_Judgment_id,German,Country,EN_DE,French_Judgment_id,French,Country,EN_FR,Chinese_Judgment_id,Chinese,Country,EN_ZH,Italian_Judgment_id,Italian,Country,EN_IT,Korean_Judgment_id,Korean,Country,EN_KO,Japanese_Judgment_id,Japanese,country,EN_JA,name,short_name,med_name,cx,cy
0,1,91,191,522159320,Azul,ESP,Blue,522383080,темно синий,RUS,Dark Blue,556636482,verde,BRA,Green,522336730,dunkelblau,DEU,Dark Blue,523195983,bleu nuit,FRA,Midnight Blue,522191776,藍色,IDN,Blue,522718935,blu scuro,ITA,Blue,557919805,파란색,KOR,Blue,539911260,青,JPN,Blue,Very Very Dark Blue,Navy,Navy Blue,284.0496433,237.4107054
0,14,56,1456,522182973,azul negro,PRI,Black Blue,522522091,темно-синий,UKR,Dark Blue,556749336,v,PRT,V.,522652623,dunkelblau,DEU,Dark Blue,523027076,bleu nuit foncé,FRA,Dark Blue Night,556686362,黑色,HKG,Black,522195635,Nero perla,ITA,Blue,542362870,곤색,KOR,Navy,545489078,濃い青,JPN,Dark Blue,Midnight Black,Navy,Boatneck Blue,283.0089155,275.8110119
2,0,40,2040,556652541,Negro,ESP,Black,523008798,темно-синий,RUS,Dark Blue,556636894,verde,BRA,Green,522304037,schwarz,DEU,Black,525599240,noir,VEN,Black,522149042,黑色,IDN,Black,556850254,blu scuro,ITA,Dark Blue,524752904,검정,KOR,Black,560166488,ブラック,JPN,Black,Night Over The Sea,Black,Underblue,292.6491036,296.0572707
0,220,2,2202,522113433,verde,MEX,Green,522368535,Зелёный,RUS,Green,556764786,verde,PRT,Green,522441183,leuchtend hellgrün,DEU,Bright Green Light,523413373,vert,FRA,Green,522278431,绿,CHN,Green,556739782,verde,ITA,Green,537167080,녹색,KOR,Green,542566939,黄緑,JPN,Yellow-green,Briliant Key Lime,Lime,Bright Green,232.4748511,440.4448507
0,27,23,2723,522112324,negro,ARG,Black,522693123,чёрный,UKR,Black,556696018,verde,BRA,Green,522282080,dunkel petrol,DEU,Dark Petrol,522387766,noire,FRA,Black,522231942,黑色,IDN,Black,522500570,nero,ITA,Black,531942953,검은색,KOR,Black,556914946,黒,JPN,Black,Midnight Forest,Black,Black,317.6653173,254.8236683
2,8,91,2891,522101278,azul oscuro,DOM,Dark Blue,522668241,темно-синий,EST,Dark Blue,522186486,castanho,PRT,Blue,522190370,blau,DEU,Blue,523117801,bleu,FRA,Blue,522243311,深蓝色,CHN,Navy Blue,522426339,Blu,ITA,Blue,557496775,푸른색,KOR,Blue,545479068,濃い青,JPN,Dark Blue,Dark Navy Blue,Navy,Navy Blue,280.0853394,244.5422435
2,94,4,2944,522067075,verde,MEX,Fluorescent Green,522841608,зелёный,RUS,Green,556759093,v,PRT,V.,522189867,grün,DEU,Green,522625681,vert,FRA,Green,522130408,綠色,TWN,Green,556679748,verde,ITA,Green,540657718,매우짙은녹색,KOR,Very dark green,539724914,緑色,JPN,Green,Woodsman Green,Green,Forest Green,273.7825782,320.0687606
5,76,0,5760,522066015,verde oscuro,COL,Dark Green,522458207,темно-зеленый,RUS,Dark Green,522149677,verde bandeira,BRA,Green,522157363,grasgrün,DEU,Grass Green,523277904,vert,VEN,Green,522252058,绿色,IDN,Green,522206923,olive,ITA,Green,556653206,녹색,KOR,Green,540695794,緑色,JPN,Green,Asparagus Green,Olive,Olive,297.720991,310.5998462
83,4,7,8347,522129142,granate,MEX,Garnet,556681184,Коричневый,RUS,Brown,556686495,verde,BRA,Green,522434237,rotbraun,AUT,Maroon,522840233,marron,FRA,Brown,522099471,褐色,TWN,Brown,556682165,marrone,ITA,Brown,542533197,갈색,KOR,Brown,545357305,茶色,JPN,Brown,Rich Chocolate,Brown,Blood,372.7879217,281.0686682
0,96,20,9620,522152646,verde,COL,Green,522355854,Тёмно-зелёный сочный,RUS,Dark Green Succulent,556750925,v,PRT,V.,522569786,grün,DEU,Green,522782810,vert,FRA,Green,522116403,草色,MYS,Grass,522843972,verde scuro,ITA,Green,537167309,진녹색,KOR,Dark green,539727739,ダークグリーン,JPN,Dark Green,Light Hunter Green,Evergreen,Hunter Green,280.6817728,321.4361751
9,75,5,9755,522089780,verde musgo,ARG,Moss Green,522540233,темно-зеленый,UKR,Dark Green,556652083,verde,BRA,Green,522211765,dunkelgrün,DEU,Dark Green,522761697,vert très foncé,FRA,Very Dark Green,522202087,绿色,IDN,Green,556668247,verde,ITA,Green,537220733,녹색,KOR,Green,545377901,深緑,JPN,Dark green,Buckingham Green,Green,Pine Green,286.5954626,311.1650109
105,5,4,10554,522084400,vino,PRI,Wine,522431424,бордо,UKR,Wine,556774602,verde,PRT,Green,522416758,Braun,DEU,Brown,556829436,bordeaux,FRA,Burgundy,522240047,棕色,IDN,Brown,556850280,rosso,ITA,Red,557658549,빨간색,KOR,Red,525574202,ワイン色,JPN,Burgundy,Dark Red Lipstick,Brown,Deep Burgendy,393.0142886,292.9245799
10,60,5,10605,522106597,verde oscuro,DOM,Dark Green,523115981,зеленый,RUS,Green,556660472,verde,BRA,Green,522204971,grasgrün,DEU,Grass Green,523387145,vert,FRA,Green,522169323,墨绿色,CHN,Dark Green,556822273,verde scuro,ITA,Dark Green,558103901,녹색,KOR,Green,542111759,みどり,JPN,Green,Deep Forest Green,Sage,Dark Green,298.4333324,317.2903815
1,33,97,13397,522067978,color azul oscuro,ARG,Dark Blue,522632366,синий,RUS,Blue,556781487,verde,PRT,Green,522201635,Dunkelblau,DEU,Dark Blue,522381414,bleu foncé,FRA,Dark Blue,522156252,深蓝色,IDN,Navy Blue,522365124,celo,ITA,Blue,556945356,파랑,KOR,Blue,546910105,藍,JPN,Indigo,Royal Navy Blue,Navy,Darken Blue,262.3200652,247.5201817
13,59,2,13592,522125647,verde olivo oscuro,ECU,Dark Olive Green,522530044,темно-зеленый,UKR,Dark Green,522233526,Verde-marinho,BRA,Green,522323097,schwarzgrün,DEU,Black Green,522871772,vert bouteille,FRA,Bottle Green,522232537,绿色,IDN,Green,556707670,verde,ITA,Green,556724705,녹색,KOR,Green,548256639,緑,JPN,Green,Dark Forest Green,Green,Forest Green,305.0572304,310.4151841
141,0,2,14102,522106968,rojo vino,ARG,Red Wine,522650122,красно-коричневый,UKR,Red-Brown,556637846,verde,BRA,Green,522387788,rot,DEU,Red,522400897,rouge,FRA,Red,522169319,暗红色,CHN,Dark Red,522789708,marrone,ITA,Red,557708879,벽돌색,KOR,Brick,538624673,濃い赤,JPN,Deep red,Deep Burnt Orange,Red,Old Barn Red,431.8765807,274.7169818
1,4,143,14143,522095180,azul de prusia,ARG,Prussian Blue,522460424,темно синий,RUS,Dark Blue,522165870,azul escuro,BRA,Blue,522370009,dunkelblau,DEU,Dark Blue,522812159,bleu,FRA,Blue,522244555,藍,HKG,Blue,556677566,blu scuro,ITA,Dark Blue,524808134,파랑,KOR,Blue,535627552,暗い青,JPN,Dark blue,Dark Blue Purple,Blue,Royal Blue,265.1164747,205.6602693
0,141,69,14169,522345359,verde musgo claro,SLV,Clear Moss Green,522772619,зеленый,RUS,Green,556747469,v,PRT,V.,522471089,grün,DEU,Green,526552354,vert foncé,CHE,Dark Green:,522129304,綠色,TWN,Green,522519723,verde,ITA,Green,537064834,녹색,KOR,Green,535619926,暗い緑,JPN,Dark green,Dark Spring Green,Green,Forest Moss,249.1274048,325.3866445
1,51,20,15120,522166047,verde pino,DOM,Pine Green,522832311,тёмно зелёный,UKR,Dark Green,556643095,verde,BRA,Green,522412237,dunkelgrün,DEU,Dark Green,522383889,vert foncé,FRA,Dark Green:,522270992,绿色,CHN,Green,556689728,verde,ITA,Green,556663088,녹색,KOR,Green,556711427,暗いみどり,JPN,Dark green,Midnight Green,Dark Green,Dark Green,293.8418776,289.1885914
16,0,84,16084,522103902,AZUL,DOM,Blue,522612513,Синий,RUS,Blue,522139839,Azul Marinho,PRT,Blue,522464742,blau,DEU,Blue,522421174,bleu,FRA,Blue,522211838,蓝色,IDN,Blue,522237704,nero,ITA,Blue,542363709,곤색,KOR,Navy,538630979,こいあお,JPN,Dark Blue,Dark Royal Blue,Gator Blue,Gator Blue,294.6992243,244.4509845
16,82,8,16828,522244695,pasto fresco,MEX,Fresh Grass,522469845,темно-зеленый,RUS,Dark Green,522559726,verde escuro,PRT,Green,522369064,dinkelgrün,DEU,Spelled Green,525290956,vert foncé,VEN,Dark Green:,522189610,苔色,MYS,Moss Color,522197508,Smeraldo scuro,ITA,Grass Green,560015051,매우어두운녹색,KOR,Very dark green,527788086,緑,JPN,Green,Bright Olive Green,Dark Green,Dark Green,293.6824572,327.9778009
1,69,79,16979,556650971,Azul Petroleo,ESP,Blue Oil,522342647,темно-зеленый,UKR,Dark Green,556670332,verde,BRA,Green,522337588,dunkelblau,DEU,Dark Blue,556704895,Bleu de Berlin,FRA,Berlin Blue,522171892,孔雀蓝色,HKG,Peacock Blue,556782507,grigio verde antracite,ITA,Anthracite Gray Green,557410667,어두운 청록색,KOR,Dark blue-green,557548505,ダークブルー,JPN,Dark Blue,Dull Dark Green,Blue,Midnight Blue,267.6727589,272.0799969
17,56,4,17564,522128099,verde oscuro,PRI,Dark Green,522481728,зеленый,RUS,Green,556769306,verde,PRT,Green,522415661,dunkelgrün,DEU,Dark Green,522803219,vert,FRA,Green,556680859,军绿色,MYS,Army Green,522639921,verde scuro,ITA,Green,528140415,초록색,KOR,Green,527564067,黒緑,JPN,Blackish green,Sherwood Green,Dark Green,Dark Green,330.0254204,297.1000421
20,66,9,20669,522102976,verde,ECU,Green,522595971,Зелёный,RUS,Green,522201543,Verde Escuro,PRT,Medium Green,522478835,dunkel grün,DEU,Dark Green,525327738,vert,FRA,Green,522181683,深黄绿色,CHN,Dark Yellow Green,556689083,verde,ITA,Green,556895597,어두운초록,KOR,Dark green,539447218,緑色,JPN,Green,Sherwood Forest Green,Green,Dark Green,294.615719,321.7982101
20,9,93,20993,522075601,color azul oscuro,ARG,Dark Blue,522543336,темно-синий,RUS,Dark Blue,522165169,Azul Escuro,PRT,Aquamarine,522384484,dunkelblau,AUT,Dark Blue,522695641,bleu marine,FRA,Navy Blue,522248748,蓝色,IDN,Blue,556805801,blu,ITA,Blue,557468570,푸른색,KOR,Blue,542546717,濃い青,JPN,Dark Blue,Dark Royal Blue,Navy,Midnight Blue,289.9023254,224.326416
2,112,3,21123,522117232,verde,MEX,Green,522642929,зелёный,UKR,Green,522251746,Q,BRA,Green,522376818,grün,DEU,Green,523409983,vert,FRA,Green,522105166,綠色,TWN,Green,556688979,verde,ITA,Green,528136518,초록색,KOR,Green,542648983,緑,JPN,Green,St. Patrick'S Day Green,Green,Forest Green,269.0833492,330.719514
